process_name,lifecycle_stage,category_path,"Abiotic depletion (elem., econ. reserve)","Abiotic depletion (elem., reserve base)",Acidification (fate not incl.),Eutrophication (incl. fate),Freshwater aquatic ecotox. 100a,Freshwater aquatic ecotox. 20a,Freshwater aquatic ecotox. 500a,Freshwater sediment ecotox. 100a,Freshwater sediment ecotox. 20a,Freshwater sediment ecotox. 500a,Freshwater sediment ecotox. infinite,"Fw. aq. ecot.  (PAH, Xylene & NMVOC av.)",Global warming 100a (incl. NMVOC av.),Global warming 20a,Global warming 500a,"Human tox. (incl. PAH, Xylene & NMVOC av",Human toxicity 100a,Human toxicity 20a,Human toxicity 500a,Ionising radiation,Land competition,Lower limit of net global warming,Malodorous air,"Mar. aq. ecotox. (PAH, Xylene & NMVOC av",Marine aquatic ecotox. 100a,Marine aquatic ecotox. 20a,Marine aquatic ecotox. 500a,Marine sediment ecotox. 100a,Marine sediment ecotox. 20a,Marine sediment ecotox. 500a,Marine sediment ecotox. infinite,Ozone layer depletion (incl. NMVOC av.),Ozone layer depletion 10a,Ozone layer depletion 15a,Ozone layer depletion 20a,Ozone layer depletion 25a,Ozone layer depletion 30a,Ozone layer depletion 40a,Ozone layer depletion 5a,"Photochem. oxid. (MIR, very high NOx)",Photochem. oxid. (incl. NMVOC av.),Photochem. oxid. (incl. NOx & NMVOC av.),"Photochemical oxidation (EBIR, low NOx)","Photochemical oxidation (MOIR, high NOx)",Photochemical oxidation (low NOx),"Terr. ecotox. (PAH, Xylene & NMVOC av.)",Terrestrial ecotoxicity 100a,Terrestrial ecotoxicity 20a,Terrestrial ecotoxicity 500a,Upper limit of net global warming
"Electricity Mix, consumption mix, at consumer, AC, 230-240V",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00366173,0.00159172,0.00073849,0.00065832,0.00078607,0.00151166,0.00137655,0.00158089,0.00164101,0.00081387,0.6699812,0.74467265,0.0,0.02099906,0.00664306,0.00661556,0.00668558,0.0,0.0,0.66007395,896.45789143,31.22698023,0.0064167,0.0011312,0.0345102,0.00643139,0.00177011,0.0281429,11.54114152,1e-07,5e-08,5e-08,5e-08,5e-08,5e-08,5e-08,5e-08,2.427e-05,0.00020384,0.00020384,4.008e-05,3.431e-05,3.303e-05,0.00023868,3.594e-05,1.11e-05,0.00011079,0.66087178
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00017964,0.00020109,3.834e-05,3.389e-05,4.232e-05,8.456e-05,7.337e-05,9.382e-05,0.0001056,4.722e-05,0.08386352,0.10772514,0.0,0.00091068,0.00072976,0.0007293,0.00073075,0.0,0.0,0.08056405,635.63158011,0.67382775,0.00019107,3.028e-05,0.00108403,0.0002263,5.302e-05,0.00105271,0.28485544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53e-06,1.973e-05,1.973e-05,2.043e-05,1.632e-05,1.611e-05,2.85e-06,9.7e-07,7.1e-07,1.71e-06,0.08064047
"Electricity Mix, consumption mix, at consumer, AC, < 1kV",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00410506,0.0012737,0.00097741,0.00089138,0.00103991,0.00205907,0.00189406,0.00217119,0.00234612,0.00111434,0.5958123,0.65386354,0.0,0.03558148,0.00858773,0.00856439,0.00862772,0.0,0.0,0.58802146,21274.64670462,224.7544332,0.00870161,0.00150824,0.04666237,0.00911082,0.00238591,0.04056585,75.57533959,1.4e-07,7e-08,7e-08,7e-08,7e-08,7e-08,7e-08,7e-08,2.044e-05,0.0002211,0.0002211,3.651e-05,3.078e-05,3.229e-05,0.00042139,5.329e-05,1.324e-05,0.00018679,0.58878575
"Process steam from Light fuel oil 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00022723,0.00022354,5.59e-05,5.239e-05,5.619e-05,0.00012049,0.00011118,0.00012106,0.00012222,5.728e-05,0.10318796,0.10871684,0.0,0.00154952,0.00058418,0.00058328,0.00058739,0.0,1.885e-05,0.10249252,993.63930964,0.65805997,0.0021488,0.00035287,0.01149711,0.00285709,0.00075119,0.0119867,0.47116423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54e-06,1.686e-05,1.686e-05,9.36e-06,7.47e-06,8.7e-06,4.84e-06,7.9e-07,4.7e-07,1.91e-06,0.10255614
"Polyethylene terephthalate (PET) granulate, production mix, at plant, amorphous",Raw Materials,Materials production > Plastics,0.0,0.0,0.01537269,0.00887227,0.00075414,0.00052506,0.00162406,0.00151976,0.00093103,0.00375709,0.01094272,0.00505674,3.37156258,4.35859809,0.0,1.68516313,0.24666077,0.24666064,0.24666169,0.0,0.0,3.24038432,25.52449488,260.71902275,0.10397523,0.01964216,0.53796632,0.11974283,0.03211138,0.55027284,102.24735396,2.1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019805,0.00238551,0.00238551,0.00044108,0.00034683,0.00042104,0.00084702,5.65e-05,1.163e-05,0.00024399,3.25476674
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,5e-08,3e-08,0.00133952,0.00089654,0.00066179,0.00062442,0.00067888,0.00142504,0.00134337,0.00145325,0.00147997,0.00069349,0.30838511,0.33931927,0.0,0.0248495,0.00927131,0.00926234,0.00929129,0.0,0.00023898,0.30460707,3592.6164996,162.20759669,0.00358282,0.00058989,0.01917934,0.0037006,0.00094007,0.01638999,54.08983261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49e-05,8.429e-05,8.429e-05,2.895e-05,2.375e-05,2.595e-05,0.0002173,2.381e-05,6.13e-06,8.507e-05,0.30529728
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,2e-08,1e-08,0.00084118,0.00068504,0.00060231,0.00056586,0.00061796,0.0013073,0.00122797,0.00133389,0.00136146,0.00063206,0.53413468,0.57187521,0.0,0.01427673,0.00637348,0.00636398,0.00639369,0.0,0.00017102,0.52959132,57394.98589662,46.04877268,0.00380084,0.00061504,0.02060164,0.00428724,0.00105313,0.01886242,15.79425008,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66e-05,5.992e-05,5.992e-05,2.995e-05,2.505e-05,2.581e-05,0.00063174,7.201e-05,1.685e-05,0.00026997,0.53011631
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00014444,7.971e-05,2.147e-05,2.082e-05,2.164e-05,2.851e-05,2.694e-05,2.882e-05,2.918e-05,2.254e-05,0.09595353,0.12415689,0.0,0.00148106,0.00105707,0.00105696,0.00105731,0.0,5.85e-06,0.09210005,4289.34691227,0.13821764,8.494e-05,1.522e-05,0.00045626,0.00011002,2.871e-05,0.00046395,0.05634726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247e-05,2.591e-05,2.591e-05,2.617e-05,2.081e-05,2.412e-05,2.03e-06,1.24e-06,1.17e-06,1.44e-06,0.09218414
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00341418,0.00087617,0.00132097,0.00124413,0.00136049,0.00282783,0.00266327,0.00289832,0.00301321,0.0014119,0.35275339,0.42735456,0.0,0.03445616,0.00544176,0.00542484,0.00547456,1e-08,0.0,0.34210249,1447.0686403,289.58121068,0.00749186,0.00124123,0.04000133,0.0075985,0.0019295,0.03404603,96.7976983,2.3e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1.1e-07,1.827e-05,0.00018784,0.00018784,3.359e-05,2.819e-05,2.863e-05,0.00031884,3.962e-05,9.59e-06,0.0001412,0.34293611
"Compressed air, production mix, 7 bar, high efficiency, low power consumption",Raw Materials,Energy carriers and technologies > Mechanical energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Polyethylene high density granulate (PE-HD), production mix, at plant",Raw Materials,Materials production > Plastics,0.0,0.0,0.00639474,0.00387599,0.00064334,0.00061985,0.00064361,0.00065485,0.0005926,0.00065556,0.00065823,0.00074241,1.99987771,2.75948976,0.0,0.05837863,0.00500678,0.00500661,0.00500738,0.0,0.0,1.90575265,13.61476868,73.7760971,0.00076304,9.21e-05,0.00439759,0.00098292,0.00017728,0.00432459,24.31765072,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026119,0.00134443,0.00134443,0.00059354,0.00046514,0.00059624,7.858e-05,7.54e-06,1.6e-06,2.926e-05,1.93047788
"Titanium Dioxide, production mix, at plant, Chloride and sulphate processes, > 80% TiO2",Raw Materials,Materials production > Inorganic chemicals,9e-08,4e-08,0.10782366,0.02085256,1.64312088,1.57468709,1.64440388,3.75408156,3.57077286,3.7570265,3.7803968,1.65982126,5.73233278,6.42174865,0.0,1.91509755,0.40212731,0.39511693,0.41416946,1e-08,0.02600578,2.87719762,162754.2170541,4899.64003964,8.01742599,1.27633181,41.78293971,8.92587235,2.32877819,39.18086334,2918.53927829,5.6e-07,1.01e-06,9.4e-07,9e-07,8.7e-07,8.3e-07,7.4e-07,1.08e-06,0.00095659,0.00346656,0.00346656,0.00206616,0.00164554,0.00209482,0.00860038,0.00127478,0.00060003,0.00370273,2.97222332
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,9.181e-05,0.00012218,4.245e-05,3.853e-05,4.265e-05,0.00010273,9.238e-05,0.00010318,0.00010431,4.337e-05,0.08651194,0.10202542,0.0,0.00046311,0.00034304,0.00034284,0.0003437,0.0,3.006e-05,0.08449275,222.31559287,0.24107188,0.00015923,2.077e-05,0.00088956,0.0002102,4.353e-05,0.00092317,0.09364014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89e-06,1.341e-05,1.341e-05,1.548e-05,1.226e-05,1.248e-05,1.84e-06,4e-07,2.7e-07,8.4e-07,0.08456993
"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00024277,0.00034361,2.716e-05,2.556e-05,2.742e-05,5.56e-05,5.142e-05,5.611e-05,5.699e-05,2.829e-05,0.09501314,0.09751188,0.0,0.00216981,0.00092137,0.00091967,0.00092788,0.0,5.296e-05,0.09474016,803.20806184,1.00842173,0.00478173,0.00079294,0.02553204,0.0063848,0.00169686,0.0266958,0.87606759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48e-06,1.487e-05,1.487e-05,5.05e-06,4.05e-06,4.85e-06,5.13e-06,6.1e-07,2.9e-07,1.82e-06,0.09481891
"Aluminium extrusion profile, production mix, at plant, primary production, aluminium semi-finished extrusion product, including primary production, transformation and   recycling",End-of-Life,Materials production > Metals and semimetals,1.302e-05,6.34e-06,10.35496939,4.62420826,3.61868747,3.36074822,3.83390874,8.21841577,7.64659192,8.65737215,9.47579409,5.3707497,2460.9802734,2657.00894193,0.0,4860.70548203,789.0338154,785.09710322,789.15594019,7.29e-06,0.0,2418.99230599,35888498.79148281,3372464.78625224,150.68105769,106.18182306,303.04620969,354.67999335,286.01038914,480.36233091,1116008.50028879,0.00028808,0.0001354,0.00013478,0.00013448,0.00013417,0.00013387,0.00013325,0.00013601,0.09386545,0.60917591,0.60917591,0.18334136,0.14985757,0.15808026,3.17391591,0.37466367,0.09045419,1.38475781,2421.19842745
"Aluminium sheet, production mix, at plant, primary production, aluminium semi-finished sheet product, including primary production, transformation and recycling",End-of-Life,Materials production > Metals and semimetals,2.155e-05,1.049e-05,13.6218228,5.64358272,5.17346139,4.82567314,5.47354933,11.90376919,11.11737239,12.52388035,13.73272225,8.07076818,3228.61296264,3457.75375643,0.0,8450.35626213,1365.96201981,1359.1141812,1366.1304623,9.11e-06,0.0,3170.86976405,36539408.14807474,5673232.41516302,253.63280589,183.7424188,478.3857473,609.07682981,496.6530568,793.69204017,1875925.62972069,0.00036912,0.0001693,0.00016853,0.00016815,0.00016777,0.00016738,0.00016662,0.00017006,0.12440488,0.86376398,0.86376398,0.2463957,0.20060566,0.21879101,5.11054177,0.59741058,0.14195474,2.22472795,3174.60275774
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00648642,0.00143664,0.00122461,0.00109908,0.00132209,0.00261405,0.00236867,0.00279477,0.00306705,0.001436,0.63336829,0.72444315,0.0,0.03879397,0.01166697,0.01163613,0.01171785,0.0,0.0,0.62075064,2579.68811781,192.08843901,0.01080988,0.00183942,0.05872702,0.01128806,0.00281,0.05129626,65.28493111,1.7e-07,8e-08,8e-08,8e-08,8e-08,8e-08,8e-08,8e-08,3.147e-05,0.0003443,0.0003443,6.034e-05,4.982e-05,4.973e-05,0.00099008,0.00011966,2.795e-05,0.0004365,0.62150834
"Electricity Mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00020848,0.00016747,0.00098418,0.00094727,0.00099193,0.00216798,0.00207163,0.00218559,0.00224044,0.00101766,0.11207461,0.1166891,0.0,0.00577361,0.00106135,0.0010561,0.00107614,0.0,0.0,0.11113696,750.18144375,6.64818066,0.00425448,0.00069584,0.0222969,0.00464066,0.00123798,0.02019156,3.07819778,1.9e-07,9e-08,9e-08,9e-08,9e-08,9e-08,9e-08,9e-08,2.27e-06,1.378e-05,1.378e-05,3.95e-06,3.36e-06,3.7e-06,1.728e-05,2.1e-06,6.1e-07,7.11e-06,0.11163696
"Barge, technology mix, 1.228 t pay load capacity",Raw Materials,Transport services > Water,0.0,0.0,0.00033016,0.00050904,1.102e-05,1.01e-05,1.161e-05,2.463e-05,2.229e-05,2.601e-05,2.852e-05,1.356e-05,0.02743777,0.02886744,0.0,0.00145937,0.0006061,0.00060589,0.00060678,0.0,0.0,0.02760258,86.02958195,0.33345615,0.00056973,0.00011968,0.00286521,0.00072088,0.0002534,0.00276909,0.20516671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13e-06,2.211e-05,2.211e-05,5e-06,3.91e-06,5.24e-06,1.17e-06,1.2e-07,3e-08,4.2e-07,0.02777568
"Steel sections (ILCD), production mix, at plant, blast furnace route / electric arc furnace route, 1 kg",Raw Materials,Materials production > Metals and semimetals,0.0,0.0,0.00452866,0.00295239,0.00095258,0.00086025,0.00102322,0.00198564,0.00179623,0.00212781,0.00234885,0.0011193,1.59991216,1.81683292,0.0,0.06335729,0.03059876,0.03049567,0.03068626,0.0,0.0,1.59056653,138497.72231953,235.71419537,0.01382555,0.0036629,0.06748469,0.01968139,0.00801913,0.0689601,78.90760638,4e-08,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,0.00032582,0.00076146,0.00076146,0.00074415,0.00058489,0.00079156,0.00238607,0.00026929,5.822e-05,0.00102835,1.62808036
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00381063,0.00119666,0.00092625,0.00084527,0.00098484,0.00195292,0.0017972,0.00205814,0.00222303,0.00105502,0.56379837,0.61866547,0.0,0.03329908,0.0080786,0.00805671,0.00811615,0.0,0.0,0.55643615,20317.95719632,208.80415293,0.00820444,0.0014217,0.04398764,0.00859806,0.00225225,0.03827405,70.23466049,1.4e-07,6e-08,6e-08,6e-08,6e-08,6e-08,6e-08,6e-08,1.931e-05,0.00020571,0.00020571,3.454e-05,2.91e-05,3.054e-05,0.00039306,4.973e-05,1.237e-05,0.00017423,0.55715913
"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00080023,0.00026953,6.352e-05,4.493e-05,8.626e-05,0.00011994,9.172e-05,0.00014946,0.00016088,9.241e-05,0.10172115,0.10440592,0.0,0.01922509,0.01818295,0.01818092,0.01818653,0.0,2.778e-05,0.10141094,982.52860746,4.9270409,0.00095549,0.00016821,0.00543216,0.00073719,0.00018211,0.00353656,1.78097367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84e-06,4.158e-05,4.158e-05,4.68e-06,3.91e-06,3.76e-06,9.24e-05,4.61e-06,1.47e-06,1.291e-05,0.10148073
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.00675321,0.00213432,0.00060055,0.00054639,0.00062998,0.00127522,0.00115632,0.00131492,0.00134309,0.00064817,0.90371333,0.93604746,0.0,0.04821865,0.04080844,0.04080127,0.04082755,0.0,0.00013087,0.89972492,16705.42130728,5.47006866,0.00928377,0.0015154,0.05020572,0.0116103,0.00298215,0.04955284,3.04106177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.931e-05,0.00036094,0.00036094,5.644e-05,4.56e-05,5.062e-05,0.00021199,1.218e-05,5.39e-06,3.364e-05,0.90028041
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,1e-08,0.0,0.0066823,0.00154058,0.00074453,0.00059259,0.00094169,0.00159773,0.00131461,0.00195797,0.00215375,0.00102977,1.21413646,1.39600927,0.0,0.07322536,0.05796564,0.05792899,0.05804005,0.0,0.00041062,1.18957718,4248.71321998,76.09104083,0.01228768,0.00213318,0.06838229,0.01268094,0.00309709,0.05880392,27.85703588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.893e-05,0.00036084,0.00036084,5.747e-05,4.683e-05,4.944e-05,0.00090315,8.982e-05,2.063e-05,0.00031856,1.19038304
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00016398,0.00019837,2.807e-05,2.501e-05,3.077e-05,5.897e-05,5.124e-05,6.526e-05,7.287e-05,3.397e-05,0.07983503,0.09675954,0.0,0.00082047,0.00071025,0.00070994,0.00071093,0.0,0.0,0.07750828,539.40827047,0.1328503,0.00013094,2.11e-05,0.00074167,0.00015689,3.726e-05,0.00072563,0.08734448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58e-06,1.641e-05,1.641e-05,1.589e-05,1.273e-05,1.297e-05,1.87e-06,8.3e-07,6.7e-07,1.25e-06,0.07758313
"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00011172,7.767e-05,0.00012205,0.00011502,0.00012227,0.00026538,0.00024634,0.00026583,0.00026735,0.00012382,0.10282604,0.11097566,0.0,0.0012802,0.00045628,0.00045577,0.0004575,0.0,9.29e-06,0.10173635,999.8259175,0.30284228,0.00052944,7.863e-05,0.00288258,0.00067461,0.0001594,0.00292543,0.19769738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82e-06,1.406e-05,1.406e-05,1.267e-05,1.001e-05,1.207e-05,3.82e-06,6.8e-07,4.2e-07,1.6e-06,0.10178155
"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.00082297,0.00025633,7.741e-05,5.857e-05,0.00010061,0.00014087,0.00011213,0.00017122,0.0001828,0.00010691,0.10663707,0.11233702,0.0,0.01943267,0.01834761,0.01834548,0.01835136,0.0,1.369e-05,0.10590328,1460.39493245,4.9533908,0.0010775,0.00018952,0.00608403,0.00088606,0.00022252,0.00417521,1.81965094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71e-06,4.615e-05,4.615e-05,1.055e-05,8.59e-06,9.15e-06,9.369e-05,4.98e-06,1.76e-06,1.349e-05,0.10597109
"Electricity Mix, consumption mix, at consumer, AC, 220V",Product-as-a-Service,Energy carriers and technologies > Electricity,0.0,0.0,0.03732874,0.00453295,0.00079422,0.00059202,0.00096892,0.00133823,0.00101588,0.0016307,0.00188831,0.00107816,1.61088938,1.70119908,0.0,0.15193958,0.01957408,0.01950369,0.01968064,0.0,0.0,1.59928588,1377.49708129,1543.85288787,0.01583751,0.00277957,0.08789085,0.01535319,0.0037422,0.06963115,510.59730617,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,3.912e-05,0.00183089,0.00183089,5.584e-05,5.183e-05,5.106e-05,0.00262592,0.00031444,7.097e-05,0.00115878,1.60019192
"Polypropylene granulate (PP), production mix, at plant",Raw Materials,Materials production > Plastics,0.0,0.0,0.00613266,0.00394417,0.00050106,0.00049832,0.00050129,0.00023623,0.00022887,0.00023683,0.00023791,0.00058194,2.03089736,2.66390989,0.0,0.04915858,0.00497654,0.00497641,0.00497706,0.0,0.0,1.94825832,12.86827564,60.81362239,0.00020341,3.188e-05,0.00112774,0.00021444,4.561e-05,0.00093568,20.0268953,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015168,0.00103943,0.00103943,0.00034075,0.00026715,0.00032926,6.03e-05,5.71e-06,1.21e-06,2.215e-05,1.9604604
"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,0.0002769,0.00021849,4.529e-05,4.187e-05,4.75e-05,9.432e-05,8.553e-05,9.946e-05,0.00010881,5.204e-05,0.09346183,0.09830491,0.0,0.00275304,0.0006045,0.00060371,0.00060707,0.0,0.0,0.09285128,949.80027447,1.24351651,0.00211789,0.00044546,0.01064886,0.00267967,0.00094216,0.01029233,0.76371596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71e-06,1.862e-05,1.862e-05,9.38e-06,7.53e-06,8.61e-06,4.53e-06,9.1e-07,5.7e-07,2.06e-06,0.09293605
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,0.0,0.0,7.715e-05,6.358e-05,3.689e-05,3.224e-05,4.063e-05,8.694e-05,7.515e-05,9.561e-05,0.00010389,4.417e-05,0.07780676,0.0934562,0.0,0.00050171,0.00035744,0.00035694,0.0003585,0.0,0.0,0.07565334,431.13746813,0.16197349,0.0002012,3.136e-05,0.00114142,0.00024084,5.604e-05,0.00111622,0.12060336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89e-06,1.092e-05,1.092e-05,1.282e-05,1.02e-05,1.019e-05,1.79e-06,6e-07,3.9e-07,1.14e-06,0.07568684
