semantic_text,synonyms,flow_name,description,material_tags,unit,flow_type,category_path,cas_number,chemical_formula
"Flow: CUTOFF Citric Acid, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Citric Acid, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Sodium Methylate, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Sodium Methylate, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Glycerin, at biodiesel plant | Type: Product Flow | Category: Manufacturing > Biofuels > Biodiesel | Unit: kg | Materials: biodiesel",,"Glycerin, at biodiesel plant",,biodiesel,kg,Product Flow,Manufacturing > Biofuels > Biodiesel,,
Flow: Fatty acids | Type: Elementary Flow | Category: Elementary flows > Emission to water > unspecified | Unit: kg | Materials: other,,Fatty acids,,other,kg,Elementary Flow,Elementary flows > Emission to water > unspecified,,
"Flow: CUTOFF Phosphoric Acid, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Phosphoric Acid, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Soy biodiesel, production, at plant | Type: Product Flow | Category: Manufacturing > Biofuels > Biodiesel | Unit: kg | Materials: soy, biodiesel",,"Soy biodiesel, production, at plant",,"soy, biodiesel",kg,Product Flow,Manufacturing > Biofuels > Biodiesel,,
"Flow: CUTOFF Rubber and plastics hose and belting | Type: Product Flow | Category: Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows | Unit: EUR 2000 | Materials: plastic, tin, rubber",,CUTOFF Rubber and plastics hose and belting,,"plastic, tin, rubber",EUR 2000,Product Flow,Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows,,
Flow: CUTOFF Measuring and dispensing pumps | Type: Product Flow | Category: Manufacturing > Petroleum Products > Petroleum CUTOFF flows | Unit: EUR 2000 | Materials: other,,CUTOFF Measuring and dispensing pumps,,other,EUR 2000,Product Flow,Manufacturing > Petroleum Products > Petroleum CUTOFF flows,,
"Flow: Ethanol, 85%, blended, at service station, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, 85%, blended, at service station, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: CUTOFF Liquid storage tank, chemicals, organics | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: Item(s) | Materials: other",,"CUTOFF Liquid storage tank, chemicals, organics",,other,Item(s),Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Energy, output, from gasoline | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped | Unit: MJ | Materials: other",,"Energy, output, from gasoline",,other,MJ,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped,,
"Flow: Ethanol, 85%, at blending terminal, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, 85%, at blending terminal, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: Ethanol, denatured, mixed feedstocks, at conversion facility, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol, feed",,"Ethanol, denatured, mixed feedstocks, at conversion facility, 2022",,"ethanol, feed",kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: Ethanol, denatured, at refueling station, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, denatured, at refueling station, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: CUTOFF Expanded perlite, at plant | Type: Product Flow | Category: Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Expanded perlite, at plant",,other,kg,Product Flow,Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows,,
Flow: Fly ash | Type: Elementary Flow | Category: Elementary flows > Waste > unspecified | Unit: kg | Materials: other,,Fly ash,,other,kg,Elementary Flow,Elementary flows > Waste > unspecified,,
"Flow: CUTOFF Disposal, non-sulfidic tailings, off-site | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Disposal, non-sulfidic tailings, off-site",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: Hazardous waste, DK | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped | Unit: kg | Materials: other",,"Hazardous waste, DK",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped,,
"Flow: CUTOFF Activated carbon, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: carbon",,"CUTOFF Activated carbon, at plant",,carbon,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Guar, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Guar, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Silicone product, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: silicon",,"CUTOFF Silicone product, at plant",,silicon,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
Flow: Waste in inert landfill | Type: Elementary Flow | Category: Elementary flows > Waste > unspecified | Unit: kg | Materials: other,,Waste in inert landfill,,other,kg,Elementary Flow,Elementary flows > Waste > unspecified,,
"Flow: CUTOFF Copper, at regional storage | Type: Product Flow | Category: Manufacturing > Metals > Metals CUTOFF flows | Unit: kg | Materials: copper",,"CUTOFF Copper, at regional storage",,copper,kg,Product Flow,Manufacturing > Metals > Metals CUTOFF flows,,
"Flow: Tailings, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped | Unit: kg | Materials: other",,"Tailings, unspecified",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped,,
"Flow: CUTOFF Biocides, for paper production, unspecified, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: paper",,"CUTOFF Biocides, for paper production, unspecified, at plant",,paper,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Sodium silicate, spray powder 80%, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Sodium silicate, spray powder 80%, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
